#,Client,Title,Owner,Resources,Notes,Date
1,Convergix,"CDS Messaging & Pillars R1 (Gate for all CDS content)",Kathy,"Kathy, Lane","Next Step: R1 goes to Daniel Tue 4/7.",2026-04-06
2,Convergix,CDS Creative Wrapper R1,Kathy,"Lane, Roz","Independent track, on target",2026-04-06
3,Convergix,New Capacity — JJ Revisions,Kathy,"Lane, Roz","Lay in JJ feedback, 2 slides left",2026-04-06
4,Convergix,Events Page Copy,Kathy,Kathy,"Next Step: Write Copy. AIST first week of May most urgent",2026-04-06
5,Convergix,Social Post Approval,Kathy,Ronan,"Next Step: Slack Daniel for 4/7-4/9 approvals",2026-04-06
6,Convergix,Rockwell + TI Articles,Kathy,?,"Next Step: Follow up with Daniel",2026-04-06
7,Soundly,AARP API meeting,?,?,Holds until SOW signed,2026-04-06
8,Soundly,AARP Creative KO,?,?,Holds until SOW signed,2026-04-06
9,TAP,TAP Travel Invoice — Allie to send,Jason,Allie,$2723 actuals. Jason approved.,2026-04-06
10,Convergix,CDS Messaging R1 to Daniel,Kathy,?,"Daniel reviews, feedback by 4/11",2026-04-07
11,Convergix,New Capacity — deliver to JJ,Kathy,"Lane, Roz",,2026-04-07
12,LPPC,LPPC copy expected (Permitting + FEMA),?,?,Design + dev starts after copy arrives,2026-04-07
13,TAP,TAP Requirements Doc (SRD) to client,Jason,Tim,Tim merging two versions into final,2026-04-07
14,Convergix,Social designs back from Roz,?,Roz,For Thursday status review,2026-04-08
15,Convergix,New Capacity finalizes → Brand Guide v2 unblocked,?,Lane,,2026-04-08
16,Convergix,Events Page copy to Leslie,Kathy,?,"Kathy writing Mon-Wed, handoff to dev",2026-04-08
17,Bonterra,Bonterra — Paige presenting designs,Jill,Paige,Impact Report design presentation,2026-04-08
18,High Desert Law,HDL Site Copy Review,?,?,HDL to review site copy,2026-04-08
19,Convergix,Weekly Status Call,Ronan,?,"Raise stale items: Corp Brochure, Life Sci, Templates, Playbook",2026-04-09
20,Convergix,Social posts reviewed at status,Ronan,Roz,,2026-04-09
21,Convergix,Daniel feedback deadline on CDS Messaging,?,?,"Daniel may miss Friday — follow up Monday if needed",2026-04-10
22,Bonterra,Bonterra approval needed,?,?,Impact Report designs. Dev window starts after approval.,2026-04-10
23,LPPC,LPPC Map R2,Ronan,"Roz, Leslie",Based on minor R1 feedback,2026-04-14
24,Convergix,CDS Messaging R2 (if feedback received),?,?,,2026-04-14
25,High Desert Law,HDL Full Site Design — Civ delivers,?,?,Civilization delivers full site design,2026-04-15
26,High Desert Law,HDL Photo Shoot Prep,?,?,"Production book + shot list",2026-04-15
27,Convergix,Fanuc Award Article enters schedule,Kathy,"Lane, Kathy",Event 4/28,2026-04-20
28,Convergix,CDS Social Posts KO,?,?,If messaging approved,2026-04-20
29,Soundly,Soundly iFrame launch (evening),?,Leslie,Live 4/22. Risk is on UHG timeline.,2026-04-21
30,High Desert Law,HDL Full Site Design Approval,?,?,HDL approves. Copy revisions to move to dev.,2026-04-22
31,Bonterra,Bonterra Impact Report — code handoff,?,?,Hard deadline. Client was 3 weeks late on content.,2026-04-23
32,Convergix,CDS Landing Page KO,?,?,If messaging approved,2026-04-25
33,Dave Asprey,Disconnect Google Sheet from Dave ManyChat,Jason,?,Clean cutoff task,2026-04-29
34,Hopdoddy,Hopdoddy Brand Refresh Website launch,?,Leslie,National Burger Day timing,2026-04-30
35,High Desert Law,HDL Start Development,?,?,After design approval,2026-05-01
36,LPPC,LPPC Map + Website Launch,?,Leslie,,2026-05-04
37,Convergix,AIST tradeshow (Convergix),?,?,Events page must be live,2026-05-04
38,Convergix,CDS Case Study + Brochure KO,?,?,If messaging approved,2026-05-05
39,Bonterra,Bonterra Impact Report — publish,?,?,Tight given compressed timeline,2026-05-11
